Long,Lat,type,name
-70.4954188,41.7582375,restaurant,Belfry Inne Bistro
-70.495165,41.7583718,restaurant,The Painted Lady
-70.4975873,41.7583937,restaurant,Daniel Webster
-69.9692882,41.6860764,restaurant,Del Mar
-69.9570045,41.6793991,restaurant,Blue Coral
-69.9578984,41.6805123,restaurant,Chatham Cookware
-69.9575567,41.6800783,restaurant,Celestine's Cafe and Bakery
-69.965315,41.6845857,restaurant,Nick's Pizzeria & Deli
-69.9564549,41.679889,restaurant,Impudent Oyster
-69.9593174,41.6818416,restaurant,Carmine's
-69.958878,41.6815226,restaurant,Captain's Table
-69.9572872,41.6802597,restaurant,Wild Goose Tavern
-70.189803,42.0502373,restaurant,The Pointe Restaurant + Wine bar
-70.6638486,42.612622,restaurant,Passports
-71.2359631,42.5015659,restaurant,The Melting Pot
-71.2258539,42.4955561,restaurant,Lemon Tree
-71.0725379,42.3506432,restaurant,FiRE + iCE
-71.0615394,42.3712299,restaurant,Max & Dylan's
-71.7775181,42.1995399,restaurant,Uno's Chicago Grill
-71.77817,42.2702736,restaurant,Junior's Pizza Grille
-71.1199847,42.3890614,restaurant,Christopher's
-70.9935348,42.3822622,restaurant,Belle Isle Seafood
-71.7941924,42.2587561,restaurant,Bocato
-71.1365224,42.3641236,restaurant,Joyful Garden
-70.1820694,42.0545449,restaurant,Yolqueria
-70.1950837,42.0437116,restaurant,Victor's
-71.0548061,42.3636546,restaurant,Quattro
-71.7753781,42.2949094,restaurant,Denny's
-71.7738601,42.2944809,restaurant,Ruby Tuesday
-71.7728723,42.2948603,restaurant,Azteca
-71.7743885,42.2940027,restaurant,Texas Roadhouse
-71.7760306,42.2935865,restaurant,5 & Diner
-72.6003903,42.58707,restaurant,Magpie Woodfired Pizzeria
-72.6025906,42.5873537,restaurant,Mesa Verde
-71.7592171,42.1918965,restaurant,A&D Pizza and Pub
-70.956177,42.2432006,restaurant,The Cliffhanger Bar & Grille
-70.7307081,41.9114518,restaurant,Plane Jane's
-70.9219307,42.2517807,restaurant,Zendo Asian Bistro & Lounge
-70.9223273,42.2517239,restaurant,Boathouse Bistro & Pizzeria
-71.0763539,42.4172199,restaurant,Dockside
-71.0737075,42.4288377,restaurant,Pearl Street Station
-70.9498981,42.2431622,restaurant,Sunny Side Up Breakfast & Lunch
-71.1115911,42.3995488,restaurant,Kelly's Diner
-71.1124092,42.399838,restaurant,Sound Bites Cafe
-71.1125057,42.3998796,restaurant,Ball Square Cafe
-71.0616123,42.473694,restaurant,Billy's Famous Roast Beef & Seafood
-71.0656253,42.4813204,restaurant,Tequila's Grill & Cantina
-71.0660648,42.4819987,restaurant,Blue Moon Grill
-71.065016,42.4552632,restaurant,Stearns & Hill's Bistro
-71.0661552,42.453949,restaurant,Petrone's Pizza & More
-71.0661058,42.4540317,restaurant,Feng Shui
-71.0666013,42.482619,restaurant,Schoolhouse Pizza
-71.0663744,42.4529761,restaurant,My Dinner
-71.0662102,42.4815396,restaurant,Greenwood House of Pizza
-71.062423,42.4765838,restaurant,Cibo Cafe & Bistro
-71.0649139,42.4554111,restaurant,Gerry's Pizza
-71.0986205,42.3634752,restaurant,Craigie on Main
-71.1047721,42.3654032,restaurant,India Pavilion
-71.0907953,42.3664458,restaurant,The Blue Room
-72.0788758,42.106795,restaurant,Publick House Dining Room
-71.7817423,42.2680767,restaurant,Zipango Sushi Bar and Grill
-71.781216,42.2684164,restaurant,Flying Rhino
-71.7798662,42.2687041,restaurant,Funky Murphy's
-71.0834658,42.3634943,restaurant,Za Restaurant
-71.1852378,41.9668403,restaurant,Emerson Dining Hall
-71.7984322,42.2669968,restaurant,Uno Chicago Grill
-71.3497229,42.5947568,restaurant,Pita
-71.3516978,42.5958824,restaurant,Fish Bones
-71.3520264,42.5965735,restaurant,Rosco's Diner
-71.3516986,42.5973733,restaurant,Yoong Tong II
-71.101103,42.3741265,restaurant,Moona
-71.4859352,42.4345181,restaurant,Red Ginger
-71.8254698,42.2545933,restaurant,Peppercorns Grill & Bar
-71.7931107,42.2602558,restaurant,Kenmore Diner
-71.8246569,42.2490443,restaurant,Brisas Tropical Restaurant
-71.8245577,42.2491019,restaurant,Saigon Restaurant
-71.819824,42.2640728,restaurant,Blue Jeans Pizza
-71.8241608,42.2553855,restaurant,Ahn Thu
-71.8202501,42.2609559,restaurant,Evo
-71.8237906,42.2561935,restaurant,Da Lat
-71.8202059,42.2619782,restaurant,Baba Sushi Restaurant
-71.8312526,42.2731907,restaurant,Corner Grille
-71.8299731,42.2625291,restaurant,Nancy Chang's
-71.8172326,42.2432684,restaurant,Blanchard's 101 Diner
-71.075363,42.3422009,restaurant,Tremont 647
-71.8119408,42.2559512,restaurant,Onelove Cafe
-71.1415209,42.3949145,restaurant,Bertucci's
-71.8074775,42.2709241,restaurant,Boynton Restaurant & Spirits
-71.7918994,42.2628714,restaurant,Leo's Ristorante
-71.7853762,42.2657337,restaurant,Lascala
-71.783457,42.2667809,restaurant,Coral Seafood
-71.7890562,42.2638599,restaurant,Wonder Bar
-71.7893137,42.2637408,restaurant,Ralphs Tavern
-71.7905636,42.2634987,restaurant,Tribeca
-71.7872055,42.2648524,restaurant,Boulevard Diner
-71.7868139,42.2654598,restaurant,Meze Estiatorio
-71.7900594,42.2632724,restaurant,Via Italian Table
-71.789539,42.2635503,restaurant,111 Chop House
-71.779014,42.2690405,restaurant,Sweet Worcester Bakery
-71.1562554,42.3756048,restaurant,Shan gri-La
-71.7679533,42.2748525,restaurant,Sonoma
-71.8859483,42.5492709,restaurant,1761 Old Mill
-71.8226037,42.2574732,restaurant,Ho Toy Luau
-71.8193107,42.2647656,restaurant,El Basha
-71.8206196,42.2642178,restaurant,Sol of Mexico
-71.8327176,42.246896,restaurant,Super Chinese Buffet
-71.3990517,42.3239139,restaurant,Subs and More
-71.4057473,42.2988863,restaurant,Sichuan Gourmet
-71.435686,42.3277163,restaurant,Gianni's Pizza
-71.225595,42.4465583,restaurant,Lexx
-71.4881792,42.3511383,restaurant,Stephen Anthony'S Seafood & Steakhouse
-71.0048535,42.2463198,restaurant,Papa Gino's
-71.0208745,42.3641679,restaurant,Alta Strada
-71.0224001,42.3648346,restaurant,Legal's Test Kitchen
-71.0219728,42.3643493,restaurant,Berkshire Farms Market
-71.0202405,42.3705188,restaurant,Durgin Park Restaurant
-71.0195193,42.37007,restaurant,Dine Boston Restaurant
-71.2794758,42.4922035,restaurant,Ginger
-71.7747534,42.2939804,restaurant,Kyoto
-72.6009744,42.5881933,restaurant,Thai Blue Ginger
-71.0568572,42.3654041,restaurant,Pizzeria Regina
-71.8018477,42.2638782,restaurant,Woosta Pizza
-71.8332571,42.2448544,restaurant,Chopsticks
-71.8039777,42.2576479,restaurant,George's Coney Island Hot Dogs
-71.814666,42.2726834,restaurant,Bagel Time
-71.8081914,42.2708628,restaurant,Tech Pizza
-71.819384,42.2645257,restaurant,Haiku Sushi
-71.8057208,42.2709567,restaurant,Boomers Sub & Deli
-71.8016527,42.2650266,restaurant,Spoodles Deli
-71.7996859,42.2649749,restaurant,Viva Bene Italian Ristorante
-71.7149641,42.2963043,restaurant,Shrewsbury Pizzaria
-71.05015,42.356244,restaurant,Meritage and Rowes Wharf Sea Grille
-71.048734,42.353709,restaurant,The Barking Crab
-71.0482916,42.3504639,restaurant,Menton
-71.0487544,42.3512481,restaurant,Flour
-71.051101,42.3465589,restaurant,Barlow's
-71.05574,42.36406,restaurant,Terramia Ristorante
-71.0843668,42.3492887,restaurant,CafeTeria Boston
-70.6071192,41.5439018,restaurant,Jim's Clam Shack
-70.6039829,41.5476907,restaurant,The Flying Bridge
-70.4690723,41.5655479,restaurant,Popponesset Inn
-71.965046,42.671513,restaurant,Little Anthony's Restaurant & Fish Market
-71.3544258,42.3228797,restaurant,Mel's Commonwealth Cafe
-71.2277092,42.4469455,restaurant,Daikanyama
-71.2277188,42.4478882,restaurant,Bertucci's
-71.2268238,42.447408,restaurant,Mario's
-71.2276197,42.4470296,restaurant,Upper Crust
-71.5701949,42.3910581,restaurant,Victor's 50s Diner
-71.0422832,42.3379214,restaurant,My Diner
-71.6823054,42.4133417,restaurant,Lou's Diner
-71.726778,42.3617699,restaurant,Farmer and the Fork
-71.1020228,42.3641718,restaurant,Thelonious Monkfish
